# of p t rho h g m mw cp gam pip mach aeat cf ivac isp t0 at p0at m_dot 
8.0 21.58 2454.6 2.4226 -6293.3 -34529.0 0.0 22.912 2.3554 1.1821 1.7379 0.99999 1.0 0.65841 1909.1 1018.8 2678.0868602 124.482222218 4729.57579624 3.09469365134 
8.0 1.224 1540.6 0.21893 -8345.6 -26068.0 0.0 22.912 2.106 1.2082 29.57 2.7132 5.0 1.487 2562.6 2301.0 2721.20397146 63.0164245022 2094.14929388 1.37008092145 
8.0 40.0 2678.3 4.1163 -5766.8 -36526.0 0.0 22.916 2.3937 1.1787 1.0 0.0 0.0 0.0 0.0 0.0 2678.3 0.0 0.0 0.0 
8.0 22.716 2456.5 2.5488 -6293.6 -34506.0 0.0 22.916 2.3557 1.1821 1.7381 0.99999 1.0 0.65853 1909.5 1019.1 2680.15985174 118.235465848 4728.71395381 3.0932028742 
8.0 1.2887 1542.2 0.23031 -8347.2 -26058.0 0.0 22.916 2.1066 1.2081 29.584 2.7138 5.0 1.487 2562.8 2301.3 2723.98496264 59.7798560913 2094.14929388 1.36946023459 
8.0 42.0 2680.2 4.3199 -5766.8 -36500.0 0.0 22.921 2.394 1.1786 1.0 0.0 0.0 0.0 0.0 0.0 2680.2 0.0 0.0 0.0 
8.0 23.853 2458.3 2.6748 -6293.9 -34483.0 0.0 22.921 2.3561 1.182 1.7383 0.99999 1.0 0.65864 1909.9 1019.5 2682.00082592 112.58464229 4727.92420746 3.0918675819 
8.0 1.3534 1543.6 0.2417 -8348.6 -26049.0 0.0 22.921 2.1072 1.2079 29.598 2.7143 5.0 1.487 2563.1 2301.6 2725.75645223 56.8574711096 2094.14929388 1.36908318214 
8.0 44.0 2681.9 4.5235 -5766.8 -36475.0 0.0 22.925 2.3944 1.1785 1.0 0.0 0.0 0.0 0.0 0.0 2681.9 0.0 0.0 0.0 
8.0 24.989 2460.0 2.8008 -6294.1 -34461.0 0.0 22.925 2.3565 1.1819 1.7385 0.99999 1.0 0.65875 1910.2 1019.8 2683.73252528 107.452328168 4727.13472486 3.09052911109 
8.0 1.4182 1545.0 0.25308 -8349.9 -26040.0 0.0 22.925 2.1077 1.2078 29.611 2.7148 5.0 1.487 2563.3 2301.9 2728.09525447 54.2035852298 2094.14929388 1.36857495516 
9.0 30.0 2565.2 3.223 -5852.6 -35290.0 0.0 22.914 2.3666 1.1811 1.0 0.0 0.0 0.0 0.0 0.0 2565.2 0.0 0.0 0.0 
9.0 17.021 2350.0 1.9961 -6357.8 -33325.0 0.0 22.914 2.3263 1.1848 1.7444 0.99998 1.0 0.66192 1865.4 999.66 2567.13131449 156.842091984 4704.4960116 3.14682830696 
9.0 0.95854 1462.5 0.18063 -8320.2 -25103.0 0.0 22.914 2.0667 1.213 30.274 2.734 5.0 1.4863 2494.1 2244.7 2626.73996423 77.8546230353 2095.13557155 1.39720148491 
9.0 32.0 2567.0 3.4361 -5852.6 -35251.0 0.0 22.918 2.3669 1.181 1.0 0.0 0.0 0.0 0.0 0.0 2567.0 0.0 0.0 0.0 
9.0 18.156 2351.7 2.1281 -6358.0 -33290.0 0.0 22.918 2.3267 1.1847 1.7447 0.99998 1.0 0.66206 1865.7 1000.0 2568.87080791 147.011304958 4703.50119325 3.14527630372 
9.0 1.0227 1463.9 0.19256 -8321.6 -25086.0 0.0 22.918 2.0672 1.2128 30.286 2.7345 5.0 1.4863 2494.3 2244.9 2628.58610475 72.887569319 2095.13557155 1.39675011531 
9.0 34.0 2568.7 3.6491 -5852.6 -35213.0 0.0 22.922 2.3672 1.181 1.0 0.0 0.0 0.0 0.0 0.0 2568.7 0.0 0.0 0.0 
9.0 19.291 2353.3 2.26 -6358.2 -33257.0 0.0 22.922 2.327 1.1847 1.7449 0.99998 1.0 0.66219 1866.0 1000.3 2570.618562 138.334625079 4702.57780999 3.14386394746 
9.0 1.0868 1465.2 0.20449 -8322.9 -25070.0 0.0 22.922 2.0677 1.2127 30.297 2.735 5.0 1.4862 2494.5 2245.2 2630.79873 68.5226552649 2095.27654421 1.39633714783 
9.0 36.0 2570.2 3.862 -5852.6 -35177.0 0.0 22.926 2.3675 1.1809 1.0 0.0 0.0 0.0 0.0 0.0 2570.2 0.0 0.0 0.0 
9.0 20.427 2354.8 2.3918 -6358.4 -33225.0 0.0 22.926 2.3273 1.1846 1.7451 0.99998 1.0 0.66232 1866.3 1000.6 2572.13934617 130.620353074 4701.65478923 3.14249605358 
9.0 1.1509 1466.4 0.21641 -8324.1 -25055.0 0.0 22.926 2.0682 1.2126 30.308 2.7354 5.0 1.4862 2494.6 2245.4 2632.74599293 64.6515881609 2095.27654421 1.39590119441 
9.0 38.0 2571.7 4.0749 -5852.6 -35144.0 0.0 22.929 2.3678 1.1808 1.0 0.0 0.0 0.0 0.0 0.0 2571.7 0.0 0.0 0.0 
9.0 21.562 2356.2 2.5236 -6358.6 -33195.0 0.0 22.929 2.3276 1.1845 1.7453 0.99998 1.0 0.66243 1866.6 1000.9 2573.55075571 123.728382002 4700.87405462 3.14122245501 
9.0 1.215 1467.5 0.22833 -8325.2 -25040.0 0.0 22.929 2.0687 1.2125 30.318 2.7358 5.0 1.4862 2494.8 2245.6 2634.51312134 61.1890030347 2095.27654421 1.39548300971 
9.0 40.0 2573.0 4.2877 -5852.6 -35111.0 0.0 22.932 2.368 1.1808 1.0 0.0 0.0 0.0 0.0 0.0 2573.0 0.0 0.0 0.0 
9.0 22.697 2357.5 2.6554 -6358.8 -33166.0 0.0 22.932 2.3279 1.1845 1.7455 0.99998 1.0 0.66254 1866.8 1001.1 2574.97067591 117.521630118 4700.09357926 3.14004026395 
